Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
01.01.2011 00:00:00,  994.61,   -2.87,   92.20,    1.30,    0.00
01.01.2011 00:10:00,  994.53,   -3.05,   92.30,    1.30,    0.00
01.01.2011 00:20:00,  994.51,   -3.16,   93.10,    1.07,    0.00
01.01.2011 00:30:00,  994.42,   -3.20,   92.60,    1.44,    0.00
01.01.2011 00:40:00,  994.30,   -3.45,   91.40,    1.51,    0.00
01.01.2011 00:50:00,  994.16,   -3.68,   92.20,    1.16,    0.00
01.01.2011 01:00:00,  994.01,   -3.64,   91.00,    1.73,    0.00
01.01.2011 01:10:00,  993.90,   -3.89,   90.60,    0.95,    0.00
01.01.2011 01:20:00,  993.79,   -4.00,   90.60,    0.88,    0.00
01.01.2011 01:30:00,  993.66,   -4.13,   90.70,    1.15,    0.00
01.01.2011 01:40:00,  993.62,   -4.30,   92.60,    0.81,    0.00
01.01.2011 01:50:00,  993.43,   -4.31,   93.50,    1.42,    0.00
01.01.2011 02:00:00,  993.42,   -4.11,   93.20,    1.08,    0.00
01.01.2011 02:10:00,  993.38,   -3.97,   92.80,    1.08,    0.00
01.01.2011 02:20:00,  993.34,   -3.80,   92.30,    1.00,    0.00
01.01.2011 02:30:00,  993.36,   -3.36,   91.60,    0.52,    0.00
01.01.2011 02:40:00,  993.31,   -3.22,   89.50,    1.00,    0.00
01.01.2011 02:50:00,  993.13,   -3.29,   89.10,    1.94,    0.00
01.01.2011 03:00:00,  992.96,   -3.62,   89.80,    1.10,    0.00
01.01.2011 03:10:00,  992.82,   -3.53,   90.50,    1.18,    0.00
01.01.2011 03:20:00,  992.69,   -3.44,   90.60,    1.05,    0.00
01.01.2011 03:30:00,  992.75,   -3.43,   90.80,    1.10,    0.00
01.01.2011 03:40:00,  992.81,   -3.50,   90.50,    1.11,    0.00
01.01.2011 03:50:00,  992.74,   -3.41,   91.30,    0.77,    0.00
01.01.2011 04:00:00,  992.50,   -3.01,   90.30,    0.83,    0.00
01.01.2011 04:10:00,  992.30,   -3.11,   89.30,    1.19,    0.00
01.01.2011 04:20:00,  992.18,   -2.59,   89.50,    1.52,    0.00
01.01.2011 04:30:00,  992.14,   -1.93,   86.60,    1.42,    0.00
01.01.2011 04:40:00,  992.07,   -1.66,   84.80,    2.04,    0.00
01.01.2011 04:50:00,  991.94,   -1.57,   84.10,    2.05,    0.00
01.01.2011 05:00:00,  991.73,   -1.54,   83.50,    2.52,    0.00
01.01.2011 05:10:00,  991.56,   -1.50,   83.20,    1.56,    0.00
01.01.2011 05:20:00,  991.46,   -1.49,   83.20,    1.26,    0.00
