Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
01.01.2005 00:10:00,  995.50,    4.97,   87.90,    4.31,    0.00
01.01.2005 00:20:00,  995.49,    4.97,   88.10,    4.45,    0.00
01.01.2005 00:30:00,  995.48,    4.91,   88.70,    3.88,    0.00
01.01.2005 00:40:00,  995.43,    4.98,   88.40,    4.63,    0.00
01.01.2005 00:50:00,  995.42,    5.06,   88.30,    4.22,    0.00
01.01.2005 01:00:00,  995.50,    5.16,   88.00,    2.85,    0.00
01.01.2005 01:10:00,  995.38,    5.29,   87.40,    3.32,    0.00
01.01.2005 01:20:00,  995.49,    5.24,   88.00,    1.70,    0.00
01.01.2005 01:30:00,  995.48,    5.28,   88.10,    1.13,    0.00
01.01.2005 01:40:00,  995.36,    5.47,   87.50,    0.94,    0.00
01.01.2005 01:50:00,  995.37,    5.47,   87.40,    1.07,    0.00
01.01.2005 02:00:00,  995.39,    5.68,   86.50,    0.81,    0.00
01.01.2005 02:10:00,  995.43,    5.73,   86.00,    1.39,    0.00
01.01.2005 02:20:00,  995.38,    5.65,   86.40,    1.31,    0.00
01.01.2005 02:30:00,  995.37,    5.65,   86.70,    1.65,    0.00
01.01.2005 02:40:00,  995.35,    5.38,   87.90,    1.82,    0.00
01.01.2005 02:50:00,  995.33,    5.29,   89.00,    0.95,    0.00
01.01.2005 03:00:00,  995.30,    5.27,   88.90,    0.88,    0.00
01.01.2005 03:10:00,  995.21,    5.36,   89.10,    1.16,    0.00
01.01.2005 03:20:00,  995.30,    5.23,   89.10,    1.15,    0.00
01.01.2005 03:30:00,  995.26,    5.02,   89.90,    1.46,    0.00
01.01.2005 03:40:00,  995.40,    4.83,   90.60,    1.26,    0.00
01.01.2005 03:50:00,  995.44,    4.90,   91.20,    0.61,    0.00
01.01.2005 04:00:00,  995.44,    5.10,   91.00,    0.32,    0.00
01.01.2005 04:10:00,  995.42,    5.38,   90.40,    0.63,    0.00
01.01.2005 04:20:00,  995.45,    5.77,   89.60,    2.04,    0.00
01.01.2005 04:30:00,  995.46,    6.10,   88.00,    2.15,    0.00
01.01.2005 04:40:00,  995.58,    6.20,   87.20,    2.14,    0.00
01.01.2005 04:50:00,  995.68,    6.22,   87.20,    1.99,    0.00
01.01.2005 05:00:00,  995.75,    6.27,   86.70,    1.76,    0.00
01.01.2005 05:10:00,  995.82,    6.30,   86.40,    1.67,    0.00
01.01.2005 05:20:00,  995.82,    6.24,   86.20,    1.16,    0.00
01.01.2005 05:30:00,  995.84,    6.24,   86.00,    0.89,    0.00
