Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
01.01.2006 00:10:00,  975.07,    2.91,   86.60,    2.20,    0.00
01.01.2006 00:20:00,  974.97,    2.84,   86.60,    1.91,    0.00
01.01.2006 00:30:00,  974.94,    2.51,   87.90,    2.20,    0.00
01.01.2006 00:40:00,  974.84,    2.32,   89.30,    2.46,    0.00
01.01.2006 00:50:00,  974.79,    2.48,   88.70,    2.35,    0.00
01.01.2006 01:00:00,  974.73,    2.56,   88.50,    2.23,    0.00
01.01.2006 01:10:00,  974.80,    2.76,   87.90,    2.52,    0.00
01.01.2006 01:20:00,  974.72,    2.77,   87.70,    3.54,    0.00
01.01.2006 01:30:00,  974.81,    2.73,   88.20,    3.20,    0.00
01.01.2006 01:40:00,  974.87,    2.63,   88.30,    3.70,    0.00
01.01.2006 01:50:00,  974.72,    2.50,   89.90,    2.46,    0.00
01.01.2006 02:00:00,  974.71,    2.93,   88.40,    2.69,    0.00
01.01.2006 02:10:00,  974.63,    2.44,   88.80,    4.80,    0.00
01.01.2006 02:20:00,  974.46,    2.19,   91.30,    5.40,    0.00
01.01.2006 02:30:00,  974.54,    2.14,   90.60,    5.18,    0.00
01.01.2006 02:40:00,  974.71,    1.84,   92.00,    4.86,    0.00
01.01.2006 02:50:00,  974.84,    2.07,   91.80,    4.65,    0.00
01.01.2006 03:00:00,  974.88,    2.34,   90.60,    4.53,    0.00
01.01.2006 03:10:00,  974.84,    2.18,   89.90,    3.78,    0.00
01.01.2006 03:20:00,  974.82,    1.96,   91.60,    3.73,    0.00
01.01.2006 03:30:00,  974.74,    2.20,   89.50,    4.79,    0.00
01.01.2006 03:40:00,  974.72,    2.18,   88.30,    4.47,    0.00
01.01.2006 03:50:00,  974.68,    3.03,   84.10,    5.96,    0.00
01.01.2006 04:00:00,  974.78,    3.04,   83.30,    4.05,    0.00
01.01.2006 04:10:00,  974.84,    3.12,   83.20,    3.35,    0.00
01.01.2006 04:20:00,  974.96,    2.85,   84.00,    2.22,    0.00
01.01.2006 04:30:00,  975.03,    2.85,   84.50,    3.81,    0.00
01.01.2006 04:40:00,  975.09,    3.03,   83.60,    4.67,    0.00
01.01.2006 04:50:00,  975.08,    3.07,   84.00,    4.85,    0.00
01.01.2006 05:00:00,  975.07,    3.05,   84.70,    4.41,    0.00
01.01.2006 05:10:00,  975.13,    3.07,   85.00,    4.00,    0.00
01.01.2006 05:20:00,  975.27,    3.03,   85.50,    3.68,    0.00
01.01.2006 05:30:00,  975.32,    3.20,   84.90,    3.25,    0.00
01.01.2006 05:40:00,  975.41,    3.31,   84.30,    3.28,    0.00
01.01.2006 05:50:00,  975.48,    3.11,   85.50,    3.04,    0.00
01.01.2006 06:00:00,  975.52,    3.00,   86.50,    2.92,    0.00
01.01.2006 06:10:00,  975.61,    2.84,   87.50,    3.12,    0.00
01.01.2006 06:20:00,  975.74,    2.73,   88.60,    2.90,    0.00
01.01.2006 06:30:00,  975.83,    2.84,   88.40,    2.59,    0.00
01.01.2006 06:40:00,  975.90,    2.89,   88.20,    2.23,    0.00
01.01.2006 06:50:00,  976.00,    2.76,   89.30,    2.30,    0.00
01.01.2006 07:00:00,  976.09,    2.59,   90.00,    2.06,    0.00
01.01.2006 07:10:00,  976.18,    2.46,   91.30,    1.80,    0.00
01.01.2006 07:20:00,  976.16,    2.58,   91.30,    2.04,    0.00
01.01.2006 07:30:00,  976.20,    2.60,   91.40,    2.09,    0.00
01.01.2006 07:40:00,  976.36,    2.66,   90.90,    2.62,    0.00
01.01.2006 07:50:00,  976.54,    2.55,   91.20,    2.47,    0.00
01.01.2006 08:00:00,  976.67,    2.50,   91.20,    2.24,    0.00
01.01.2006 08:10:00,  976.77,    2.31,   91.80,    0.66,    0.00
01.01.2006 08:20:00,  976.86,    1.98,   92.90,    0.20,    0.00
01.01.2006 08:30:00,  976.93,    2.18,   93.40,    0.37,    0.10
01.01.2006 08:40:00,  977.07,    2.17,   92.60,    0.10,    0.00
